Activity,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS
9.88,654.8778000000001,67.30211669017416,1444.2449726351385,76.44527825584176,46.64385403072951,7477.44674180203,269.8483999999999,4006.7251764907173,131.27577994057862,464.2773343192603,214.0859856961732,15590.218500000003,46.537330673888626,2752.4842558933856,4331.156498746647,396.2921883599999,158.95563241367492
9.05,667.8828000000001,67.46359373330417,1453.2255587250033,76.91389422747474,47.09492143628654,7545.083422766828,276.3508999999999,3978.4659887121907,131.39990308135216,441.9833973222395,214.75654665156222,16094.221000000003,46.630912828304666,2798.2473262646413,4349.280038800448,404.76960291999995,154.1673853020186
9.28,668.1888000000001,67.48716417439292,1685.1705229541794,98.36270887971772,47.11641730649733,7578.4572531434,276.5048,4622.416808181207,145.49562162002235,551.1272916514496,234.03283737351546,16187.043400000006,69.03779619004821,2816.446260840241,4369.68747414438,460.06103112999983,193.64440998355815
9.28,551.1437999999998,63.22928489047573,1289.6630837923212,87.7352154449711,44.81678534377495,6485.174064478284,243.99229999999997,3335.3572350200084,110.96519843812996,427.37750906664076,174.30319039691003,13667.030900000003,66.30712220502913,2581.1386906111275,3861.272028897744,358.0499013299999,157.49473110969808
8.72,551.1437999999998,63.22928489047573,1289.6630837923212,87.7352154449711,44.81678534377495,6485.174064478284,243.99229999999997,3335.3572350200084,110.96519843812996,427.37750906664076,174.30319039691003,13667.030900000003,66.30712220502913,2581.1386906111275,3861.272028897744,358.0499013299999,157.49473110969808
8.59,577.4597999999999,64.29191330995288,1683.929838236593,107.04196884254202,45.77263828708152,6750.524447805132,257.15119999999996,4324.797206435185,115.00762751550644,630.0451460416338,183.70208399564677,14767.858300000004,80.22110932104738,2696.7564631304745,4012.6605387847835,426.9015129399999,228.05117570998667
9.06,542.3717999999999,63.306605735919675,1071.3822397586594,62.732360139299495,45.409119902283955,6308.731660522484,242.66699999999992,2827.1390147380266,107.46331331319762,363.51825320764794,164.91334790722485,12698.2236,40.56110837773718,2463.6330420148774,3788.1434077507865,291.33484724,128.7333540446334
7.8,542.3717999999999,63.306605735919675,1071.3822397586594,62.732360139299495,45.409119902283955,6308.731660522484,242.66699999999992,2827.1390147380266,107.46331331319762,363.51825320764794,164.91334790722485,12698.2236,40.56110837773718,2463.6330420148774,3788.1434077507865,291.33484724,128.7333540446334
9.2,590.4647999999999,64.60550454311881,1747.4594856401577,106.95324243260687,45.77263828708152,6869.010489216207,257.1511999999999,4559.937627702859,115.72116800009952,644.474101429146,185.71756093606106,14767.858300000004,80.20809022046632,2696.7564631304745,4053.676787936957,425.82529365999983,233.33017053666998
8.97,602.8578000000001,66.1105816318643,1238.0754692475111,76.39075256128845,45.26368964291357,7082.992927247336,250.34089999999995,3465.656892241671,133.919009417383,443.3217524415548,215.56483107929532,14078.211000000001,47.00723635069935,2610.3857988661784,4170.266482776811,378.3049423199999,146.87856790648476
9.53,563.8428,63.1227330969079,1161.0154377060258,64.6050021755245,45.26368964291357,6495.783993957025,250.34089999999992,2998.4774184521943,107.90313337163414,376.61760305395956,167.5252963643779,14078.211000000001,40.99416209059752,2610.3857988661784,3835.1939476390567,315.8606763199999,135.8378095742703
9.53,628.8678000000001,67.48652512614598,1414.6892042217871,76.04844587442685,45.72837309964133,7353.779409162563,256.8433999999999,4063.0266750370706,134.57356334607618,524.7356782362734,217.3112454810386,14582.213500000002,46.695070878576416,2658.5959713594066,4311.9028594301535,381.8239169999999,167.88065131565986
2.46,275.553,53.83820455161984,605.437357421875,68.9631451691091,34.79120337915893,3936.5563454189883,133.58849999999998,1483.0613669375,52.92797055665478,331.28582532267495,75.12605964828091,6036.307899999998,63.02255631005914,1669.9512762162585,2770.1741608536377,162.00832547,121.26511938006665
4.11,275.553,53.83820455161984,605.437357421875,68.9631451691091,34.79120337915893,3936.5563454189883,133.58849999999998,1483.0613669375,52.92797055665478,331.28582532267495,75.12605964828091,6036.307899999998,63.02255631005914,1669.9512762162585,2770.1741608536377,162.00832547,121.26511938006665
